End Address,Driving Distance (meters),Driving Distance (miles)
"107 West Way Suite 23, Lake Jackson, Texas 77566",991,0.615778661
"1621 FM 2004, Richwood, TX",6480,4.02648408
"null, null, ",#ERROR!,
"99A This Way, Lake Jackson, TX TX",321,0.199460091
"1002 ABC Ave., Freeport, TX",16987,10.55522918
"1524 E Mulberry, 135, ",18667,11.59913246
"1085 Hercules Ave., Houston, Texas",94654,58.81525063
"1711 FM 523, Freeport, TX TX",15202,9.446081942
"107 This Way, Ste B, Lake Jackson",213,0.132352023
"443 This Way St., Lake Jackson, TX 77566",967,0.600865757
"2513 N. Velasco, Ste. C, Angleton",20174,12.53553855
"209 Flag Lake Drive, Clute, TX TX",5348,3.323092108
"205 Parking Way St., Lake Jackson, TX TX",80,0.04970968
"56 Snowberry Ct., Lake Jackson, TX TX",5250,3.26219775
"215 Parking Way, Ste. B, Lake Jackson",23,0.014291533
"122 West Way St., Ste. 403-B, Lake Jackson",940,0.58408874
"4001 Technology Drive, Suite 120, Suite 2095",2808615,1745.191911
"200 Oak Dr. S., Lake Jackson, TX TX",1669,1.037068199
"313 Plantation Dr., Lake Jackson, TX 77565",4682,2.909259022
"107 West Way #31, Lake Jackson, TX TX",991,0.615778661
"M.D. P.A., 215 Oak Dr., Ste. G",#ERROR!,
"100 HWy. 332. #1030, Lake Jackson, TX 77566",1869,1.161342399
"14016 S. Hwy. 288-B, Angleton, TX TX",8531,5.300916001
"1900 N Downing Rd, Angleton, Texas Texas",19002,11.80729174
"202 Bentwater Dr., Clute, TX",4555,2.830344905
"146 Dutch Lake Ct., Oyster Creek, TX 77541",17117,10.63600741
"202 N. Gulf Blvd., Freeport, TX 77541",13814,8.583618994
"1618 Brazosport Blvd., Richwood, TX",10095,6.272740245
"null, null, ",#ERROR!,
"null, null, ",#ERROR!,
"&nbsp;P.O. Box 490, Lake Jackson, TX TX",2080,1.29245168
"CRPC &amp; Gionanna Swisher, MBA, CFP",#ERROR!,
"1962 CR 220, Angleton, TX TX",10960,6.81022616
"602 Copper Road, Freeport, TX",8444,5.246856724
"1510 Brazosport Blvd., , Freeport",12162,7.557114102
"2947 E. Broadway St. Ste. 400, Pearland, TX",71554,44.46158053
"3020 53rd Street, Galveston, TX",81343,50.54418125
"10763 Valley Hills, Houston, TX TX",83768,52.05100593
"409 E. Hwy. 332, Surfside, TX",20190,12.54548049
"145 Oyster Creek Dr., ste. 2, Lake Jackson",1294,0.804054074
"125 S. Parking Place, Lake Jackson, TX TX",555,0.344860905
"1333 West Loop South, Suite1200, Houston",89404,55.55305288
"8000 Airport Way, Angleton, TX",12641,7.854750811
"232 Plantation Drive, Lake Jackson, TX TX",4463,2.773178773
"107 Waterlily, Lake Jackson, TX TX",3927,2.440123917
"DDS, 115 N. Dixie Dr., ste. 410",#ERROR!,
"120 N. Gulf Blvd., Freeport, TX TX",13867,8.616551657
"246 Bluewater Hwy., Surfside, TX TX",20611,12.80707768
"207A-1 That Way, Lake Jackson, TX TX",1749,1.086777879
"null, null, ",#ERROR!,
"139 E. Myrtle St, Angleton, TX 77515",16529,10.27064126
"120 E. Hospital Dr., Angleton, TX",19971,12.40940024
"792 S. Hwy. 288-B, Clute, TX TX",6428,3.994172788
"1427 McFadden Rd., Lake Jackson, Texas 77566",6011,3.735061081
"901 S. Downing, Angleton, TX",17645,10.9640913
"200 E. Mulberry, Angleton, TX TX",16400,10.1904844
"651 West Miller St., Angleton, TX TX",16575,10.29922433
"100 E. Cedar, Angleton, TX TX",16910,10.50738361
"237 E. Locust St., Ste. 401, Angleton",16836,10.46140216
"912 N. Velasco, Angleton, TX",17130,10.64408523
"null, null, ",#ERROR!,
"null, null, ",#ERROR!,
"214 Parking Way, Lake Jackson, TX TX",325,0.201945575
"126 N. Velasco St., Angleton, TX TX",16348,10.15817311
"113 East Main St., Clute, TX",8292,5.152408332
"312 W. Plantation, Clute, TX",6304,3.917122784
"2007 FM 2004, Richwood, Texas Texas",7247,4.503075637
"100 Hwy. 332 W., Ste. 1022, Lake Jackson",1869,1.161342399
"1350 S. Velasco St., Angleton, TX",14701,9.134775071
"P.O.Box 244, Clute, Texas Texas",6774,4.209167154
"2301 N. Brazosport Blvd., B-1210, Freeport",11042,6.861178582
"M.D. &amp; Nabil Baradhi, M.D., 215 Oak Drive South",2159,1.341539989
"916 N. Gulf Blvd., Freeport, TX",12952,8.047997192
"200-B Willow Dr., Lake Jackson, TX TX",3575,2.221401325
"President, 500 College Drive, Lake Jackson",2080,1.29245168
"103 Parking Way, Lake Jackson, TX TX",301,0.187032671
"301 W. Brazoswood Drive, , Clute",5813,3.612029623
"301 W. Brazoswood Dr., Clute, TX TX",5813,3.612029623
"null, null, ",#ERROR!,
"PT, DPT, 321 Garland Dr.",#ERROR!,
"null, null, ",#ERROR!,
"400 College Blvd., Clute, TX",5371,3.337383641
"441 E. Plantation, Clute, TX TX",8265,5.135631315
"255 Brazoswood Dr, Ofc, ",6241,3.877976411
"510 That Way, Lake Jackson, TX TX",1485,0.922735935
"null, null, ",#ERROR!,
